satellite_number,alt_km,size_range,days,err_km
3267,1995.3279211753659,5-10cm,4.574853993055445,487.4089829540465
3267,1995.3279211753659,5-10cm,5.033269768520086,497.24725926507256
3267,1995.3279211753659,5-10cm,5.543166053239946,716.1130207949112
3267,1995.3279211753659,5-10cm,6.004583946758951,699.2583095171087
3267,1995.3279211753659,5-10cm,6.515512997684655,980.7660502594009
3267,1995.3279211753659,5-10cm,6.60568273148051,1000.2763074010504
3267,1995.3279211753659,5-10cm,7.575329791666181,1318.0179344219814
3267,1995.3279211753659,5-10cm,7.840953530092483,1405.2600993625306
3267,1995.3279211753659,5-10cm,8.037631828704917,1200.7089055908984
3267,1995.3279211753659,5-10cm,8.545661180554717,1675.387722383672
3267,1995.3279211753659,5-10cm,9.007856053240873,1512.3222225314723
3267,1995.3279211753659,5-10cm,9.51740672453686,2063.831527731163
3267,1995.3279211753659,5-10cm,9.973320902779147,1963.358506378997
3267,1995.3279211753659,5-10cm,10.48421663194343,2518.457717631369
3267,1995.3279211753659,5-10cm,10.57868217592714,2508.9226353788517
3267,1995.3279211753659,5-10cm,11.031768657407827,2410.7955340268386
3267,1995.3279211753659,5-10cm,11.296635231480554,2522.2213355424406
3267,1995.3279211753659,5-10cm,11.45397048611056,2994.7778225483116
3267,1995.3279211753659,5-10cm,11.814459293981393,3110.0746045320393
3267,1995.3279211753659,5-10cm,12.777474375000155,3708.8849605346686
3267,1995.3279211753659,5-10cm,12.983710972222465,2965.7037212546525
3267,1995.3279211753659,5-10cm,13.486718738426765,4111.941356554307
3267,1995.3279211753659,5-10cm,14.457089479168257,4705.273674380429
3267,1995.3279211753659,5-10cm,14.551506481482475,4608.630122826722
3267,1995.3279211753659,5-10cm,15.016454884258133,3841.340072675368
3267,1995.3279211753659,5-10cm,15.521892708333002,5225.939634947148
3267,1995.3279211753659,5-10cm,15.779843888889861,5570.376754884376
3267,1995.3279211753659,5-10cm,15.986936909721956,4342.662282274699
3267,1995.3279211753659,5-10cm,17.460730335648964,6627.068893215928
3267,1995.3279211753659,5-10cm,18.51870714120291,7415.422947417128
3267,1995.3279211753659,5-10cm,18.99155047453664,5883.318845386999
3267,1995.3279211753659,5-10cm,19.96058207176074,6511.6792260401035
3267,1995.3279211753659,5-10cm,21.527825937500154,9008.481334025819
3267,1995.3279211753659,5-10cm,22.4982173495381,9727.289759135638
3267,1995.3279211753659,5-10cm,22.756059780093256,10452.3073481627
3267,1995.3279211753659,5-10cm,23.47054857638975,10263.637562839984
3267,1995.3279211753659,5-10cm,23.727447291667815,11111.791521845842
3267,1995.3279211753659,5-10cm,24.44262912037196,10807.696177137648
3267,1995.3279211753659,5-10cm,25.9703101273157,10298.150598882643
3267,1995.3279211753659,5-10cm,27.43790873842659,13292.931301980385
3267,1995.3279211753659,5-10cm,28.505184305555844,13160.022683501766
3267,1995.3279211753659,5-10cm,29.474727569445967,13850.43149054755
4993,900.8002890574904,5-10cm,0.283916921298261,3.2185637120557917
4993,900.8002890574904,5-10cm,0.5926169444455041,13.680441164572352
4993,900.8002890574904,5-10cm,1.0095812847244519,34.70679298466715
4993,900.8002890574904,5-10cm,1.5280671064831592,77.64429240650006
4993,900.8002890574904,5-10cm,1.8188142361133186,107.23736360491048
4993,900.8002890574904,5-10cm,1.9403518171304905,124.45064779167262
4993,900.8002890574904,5-10cm,2.530744340279036,208.00203406037483
4993,900.8002890574904,5-10cm,2.942636423613186,282.78374987208775
4993,900.8002890574904,5-10cm,3.0052029166674172,293.4387646601115
4993,900.8002890574904,5-10cm,3.8834849189828944,486.8038320848553
4993,900.8002890574904,5-10cm,4.534648194445504,657.3925678200748
4993,900.8002890574904,5-10cm,4.946350208333245,790.2070166999981
4993,900.8002890574904,5-10cm,5.466487951389065,949.1600647917213
4993,900.8002890574904,5-10cm,5.532166608798283,978.9201420123384
4993,900.8002890574904,5-10cm,6.758775949075266,1439.5740549004456
4993,900.8002890574904,5-10cm,6.944368495372711,1547.2946105543117
4993,900.8002890574904,5-10cm,7.95272094907584,2023.6959789044222
4993,900.8002890574904,5-10cm,8.538323483798239,2306.573975287689
4993,900.8002890574904,5-10cm,8.7626206828709,2404.795307758905
4993,900.8002890574904,5-10cm,9.474447523148523,2812.9583718762674
4993,900.8002890574904,5-10cm,9.956754155092769,3148.437131014782
4993,900.8002890574904,5-10cm,10.243359618057255,3327.898566055252
4993,900.8002890574904,5-10cm,11.478522488427934,4087.7176896112705
4993,900.8002890574904,5-10cm,11.616153854167571,4203.9970722578155
4993,900.8002890574904,5-10cm,11.769065509259148,4277.495654080641
4993,900.8002890574904,5-10cm,12.24772218750031,4700.969218106752
4993,900.8002890574904,5-10cm,12.957218368056196,5246.651954758213
4993,900.8002890574904,5-10cm,13.959294062502407,6036.535190244165
4993,900.8002890574904,5-10cm,15.963526400462897,7709.3677080846755
4993,900.8002890574904,5-10cm,16.77972439815049,8273.673454397143
4993,900.8002890574904,5-10cm,18.49288402777855,9757.482509388301
4993,900.8002890574904,5-10cm,18.78400031250108,10004.553762977168
4993,900.8002890574904,5-10cm,21.256857268520527,12138.412429377277
4993,900.8002890574904,5-10cm,21.98118061342725,12604.549154255512
4993,900.8002890574904,5-10cm,22.259433634261843,12837.139539911183
4993,900.8002890574904,5-10cm,22.983286875000708,13246.54444179356
4993,900.8002890574904,5-10cm,23.985609768518696,13784.324028146933
4993,900.8002890574904,5-10cm,26.98664221064912,14553.785091054006
4993,900.8002890574904,5-10cm,27.21064900463102,14537.654232324026
4993,900.8002890574904,5-10cm,27.578491319445547,14502.083397118962
4993,900.8002890574904,5-10cm,27.987838981482717,14439.752400334326
4993,900.8002890574904,5-10cm,28.80533903935441,14151.238783442483
4993,900.8002890574904,5-10cm,29.516244629629785,13801.387240881777
4993,900.8002890574904,5-10cm,29.998379699074558,13531.966788193033
5987,14562.343021000084,5-10cm,6.973060960648237,877.3593299655843
5987,14562.343021000084,5-10cm,8.021053229167505,1106.3728471202965
5987,14562.343021000084,5-10cm,9.730276759261335,1689.2874104327827
5987,14562.343021000084,5-10cm,14.993359097223038,3763.0826369287192
5987,14562.343021000084,5-10cm,16.70401127314954,5188.225371488378
5987,14562.343021000084,5-10cm,18.47567555555591,6002.648141196251
5987,14562.343021000084,5-10cm,27.88879064814912,12205.111510748857
5987,14562.343021000084,5-10cm,28.937446296297843,12319.244514900476
10208,840.1570717228105,5-10cm,0.07528462962971794,1.1764648048762818
10208,840.1570717228105,5-10cm,0.15051052083295804,2.437582339894577
10208,840.1570717228105,5-10cm,0.2064170023136669,4.2362823565832946
10208,840.1570717228105,5-10cm,0.3003349421283713,5.817696887230604
10208,840.1570717228105,5-10cm,0.9875421643505494,44.07686372421813
10208,840.1570717228105,5-10cm,1.0629028819446211,50.83631923075254
10208,840.1570717228105,5-10cm,1.138193240739681,58.084422955085046
10208,840.1570717228105,5-10cm,1.1938323379611528,62.800924258716954
10208,840.1570717228105,5-10cm,1.2880804513891537,74.11448763395958
10208,840.1570717228105,5-10cm,1.9719380324057958,157.13682401602267
10208,840.1570717228105,5-10cm,2.0509202893519842,171.55116500371886
10208,840.1570717228105,5-10cm,2.1258661111113097,185.8595273954534
10208,840.1570717228105,5-10cm,2.180688437499382,190.6268071334851
10208,840.1570717228105,5-10cm,2.2758445023138214,217.15459983825218
10208,840.1570717228105,5-10cm,2.889087222221273,324.02935930718775
10208,840.1570717228105,5-10cm,2.9626525694435393,341.5398082467605
10208,840.1570717228105,5-10cm,3.038082071757979,362.0831910813613
10208,840.1570717228105,5-10cm,3.113515081016554,384.96307179393557
10208,840.1570717228105,5-10cm,3.188648414352426,409.1454216478035
10208,840.1570717228105,5-10cm,3.2638497106482585,434.3332073362128
10208,840.1570717228105,5-10cm,4.025644884258509,620.5644444296698
10208,840.1570717228105,5-10cm,4.176331689813071,686.7629011680589
10208,840.1570717228105,5-10cm,4.251353865740476,721.7400999036679
10208,840.1570717228105,5-10cm,4.536697199074206,826.7130578598639
10208,840.1570717228105,5-10cm,4.861957962962764,881.3718999805169
10208,840.1570717228105,5-10cm,4.9376047800922835,909.8555866847331
10208,840.1570717228105,5-10cm,5.013187499998344,945.2313788647332
10208,840.1570717228105,5-10cm,5.08874995370154,986.9992582966878
10208,840.1570717228105,5-10cm,5.163981354164856,1032.2688673876307
10208,840.1570717228105,5-10cm,5.240579143516995,1085.1523325185365
10208,840.1570717228105,5-10cm,6.000722476851057,1336.3912283140903
10208,840.1570717228105,5-10cm,6.076337291664547,1388.2695583324723
10208,840.1570717228105,5-10cm,6.151624351850263,1445.5399378599898
10208,840.1570717228105,5-10cm,6.226008402776939,1500.7723430698982
10208,840.1570717228105,5-10cm,6.837047083333687,1710.3107217695956
10208,840.1570717228105,5-10cm,7.064001331017525,1855.8831064464364
10208,840.1570717228105,5-10cm,7.139230347220544,1925.1484926066853
10208,840.1570717228105,5-10cm,7.498426782406039,2168.841967749885
10208,840.1570717228105,5-10cm,7.975746493055313,2315.162649243347
10208,840.1570717228105,5-10cm,8.051444467593122,2386.355601120454
10208,840.1570717228105,5-10cm,8.103295312499007,2400.6563393220317
10208,840.1570717228105,5-10cm,8.485715370368627,2746.8768972920157
10208,840.1570717228105,5-10cm,8.811644212962301,2810.8012661472535
10208,840.1570717228105,5-10cm,9.038973136574581,2979.830674688543
10208,840.1570717228105,5-10cm,9.116323298610471,3098.622077938132
10208,840.1570717228105,5-10cm,9.18950225694312,3177.8749098781955
10208,840.1570717228105,5-10cm,9.799146886572794,3459.6193553234098
10208,840.1570717228105,5-10cm,10.026468310185052,3633.586667459381
10208,840.1570717228105,5-10cm,10.101921157406435,3741.0402388316857
10208,840.1570717228105,5-10cm,10.787033194444247,4167.272107136438
10208,840.1570717228105,5-10cm,10.863745173610472,4192.03435259543
10208,840.1570717228105,5-10cm,11.013959930555687,4343.339534214318
10208,840.1570717228105,5-10cm,11.091305833331965,4491.538258656637
10208,840.1570717228105,5-10cm,11.774562465278088,4933.831963117439
10208,840.1570717228105,5-10cm,11.850388321757869,4952.889238667792
10208,840.1570717228105,5-10cm,12.00163892361025,5106.957533686423
10208,840.1570717228105,5-10cm,12.077057442129762,5233.98345054284
10208,840.1570717228105,5-10cm,12.434527569443539,5615.142353992237
10208,840.1570717228105,5-10cm,12.688671122684523,5734.170252729419
10208,840.1570717228105,5-10cm,12.762109155091974,5751.857859452108
10208,840.1570717228105,5-10cm,12.837570289351323,5764.556065959194
10208,840.1570717228105,5-10cm,12.988710787036904,5910.111748900906
10208,840.1570717228105,5-10cm,13.06458525462835,6049.765949508642
10208,840.1570717228105,5-10cm,13.138827812500574,6185.3017675736055
10208,840.1570717228105,5-10cm,13.422354490740432,6460.777280189383
10208,840.1570717228105,5-10cm,13.746705914352226,6666.872405342419
10208,840.1570717228105,5-10cm,13.82498163194292,6619.472309501321
10208,840.1570717228105,5-10cm,13.976341678240784,6759.524437646417
10208,840.1570717228105,5-10cm,14.052045243054076,6901.941050113224
10208,840.1570717228105,5-10cm,14.40910659722156,7313.138833752007
10208,840.1570717228105,5-10cm,14.737973599536,7497.490706868577
10208,840.1570717228105,5-10cm,14.81250659722145,7507.031900863307
10208,840.1570717228105,5-10cm,14.943293842590517,7829.495072789449
10208,840.1570717228105,5-10cm,15.326610451387586,8154.570945127616
10208,840.1570717228105,5-10cm,15.39701612268333,8215.338219656729
10208,840.1570717228105,5-10cm,15.722376354165652,8482.303612000715
10208,840.1570717228105,5-10cm,15.800041851851123,8416.37026767723
10208,840.1570717228105,5-10cm,15.930633402775834,8767.707372707862
10208,840.1570717228105,5-10cm,16.02841559027632,8708.930691014015
10208,840.1570717228105,5-10cm,16.313613171295987,9043.083518532476
10208,840.1570717228105,5-10cm,16.38404061342555,9104.588184595365
10208,840.1570717228105,5-10cm,16.712428067127863,9352.800787408894
10208,840.1570717228105,5-10cm,16.787590752312983,9333.788816105458
10208,840.1570717228105,5-10cm,16.863105127314725,9356.180667825074
10208,840.1570717228105,5-10cm,16.918219259257118,9700.240534038761
10208,840.1570717228105,5-10cm,17.300573692128616,9926.914985125453
10208,840.1570717228105,5-10cm,17.700043171296517,10267.195628347268
10208,840.1570717228105,5-10cm,17.775160127315257,10242.113981156983
10208,840.1570717228105,5-10cm,17.850616539349712,10257.068426115158
10208,840.1570717228105,5-10cm,17.927505856481968,10342.567320060505
10208,840.1570717228105,5-10cm,18.28751820601799,10790.505763625877
10208,840.1570717228105,5-10cm,18.76280355324072,11120.645185636164
10208,840.1570717228105,5-10cm,18.83812239583168,11130.077737363483
10208,840.1570717228105,5-10cm,18.991648136573257,11365.375821262802
10208,840.1570717228105,5-10cm,19.27467515046122,11620.653969121968
10208,840.1570717228105,5-10cm,19.601646111110846,11999.096027749587
10208,840.1570717228105,5-10cm,19.750475046295257,11948.047499626105
10208,840.1570717228105,5-10cm,19.976891793981196,12122.38678471463
10208,840.1570717228105,5-10cm,20.2615766666664,12385.455993140326
10208,840.1570717228105,5-10cm,20.867868148146403,13026.125171568554
10208,840.1570717228105,5-10cm,21.24840577546093,13066.56940115688
10208,840.1570717228105,5-10cm,24.209783506942568,14348.517417049612
10208,840.1570717228105,5-10cm,26.183806875000396,14253.541767544657
10208,840.1570717228105,5-10cm,26.720936724535292,13848.193888948483
10208,840.1570717228105,5-10cm,27.502004178240895,13451.477937582742
10208,840.1570717228105,5-10cm,27.576676087961705,13478.00683571403
10208,840.1570717228105,5-10cm,27.651472870370856,13490.376719732825
10208,840.1570717228105,5-10cm,27.708533229165607,13180.97926481027
10208,840.1570717228105,5-10cm,27.801306736110536,13435.54095982585
10208,840.1570717228105,5-10cm,28.158312256943297,13123.486080252307
10208,840.1570717228105,5-10cm,28.48972628472028,12597.10436928091
10208,840.1570717228105,5-10cm,28.564343472222486,12622.506938493641
10208,840.1570717228105,5-10cm,28.78909156249905,12540.876668669558
10208,840.1570717228105,5-10cm,29.074871145831764,12197.060815946134
10208,840.1570717228105,5-10cm,29.402932916667176,11431.245578031407
10208,840.1570717228105,5-10cm,29.47728958333256,11449.209724602806
10208,840.1570717228105,5-10cm,29.552008819444865,11469.556205692044
10208,840.1570717228105,5-10cm,29.626778564814614,11466.346450985282
10208,840.1570717228105,5-10cm,29.683044108795347,10994.530073937603
10208,840.1570717228105,5-10cm,29.776523715276962,11333.321406725809
10437,1546.0544600300013,5-10cm,0.19787219907398576,0.3086865312844174
10437,1546.0544600300013,5-10cm,0.44568762731220984,3.659110374725418
10437,1546.0544600300013,5-10cm,0.7354253587954575,10.017969610183616
10437,1546.0544600300013,5-10cm,0.9747237499996468,16.385613144967603
10437,1546.0544600300013,5-10cm,1.7112076504611307,48.457318579508616
10437,1546.0544600300013,5-10cm,1.800629016202357,54.18229558834929
10437,1546.0544600300013,5-10cm,2.1469718865719107,78.63253729193134
10437,1546.0544600300013,5-10cm,2.4765238310175914,106.45032302486477
10437,1546.0544600300013,5-10cm,3.1213044444444003,165.1973188476913
10437,1546.0544600300013,5-10cm,3.185570266202644,162.93228098589506
10437,1546.0544600300013,5-10cm,3.2690537962952146,172.32395735663343
10437,1546.0544600300013,5-10cm,3.7436429629612853,223.99943610198704
10437,1546.0544600300013,5-10cm,3.9814446296294532,254.62671319009974
